PLAYER,POSITION,TEAM,POINTS,SALARY
Josh Allen,QB,BUF,25.11,7500
Alvin Kamara,RB,NO,23.69,8500
Stefon Diggs,WR,BUF,20.98,7700
Cam Akers,RB,LA,14.39,5100
Michael Thomas,WR,NO,19.57,6300
Mark Andrews,TE,BAL,16.04,5200
Michael Pittman Jr.,WR,IND,9.25,3500
Jonnu Smith,TE,TEN,9.18,3200
Seattle D/ST,DST,SEA,7.14,2700
