PLAYER,POSITION,TEAM,POINTS_DK,SALARY_DK
Hayden Hurst,TE,ATL,9.47,3700
Russell Gage,WR,ATL,9.81,4500
Robert Tonyan,TE,GB,9.09,4200
Hunter Henry,TE,LAC,9.4,4400
Rashard Higgins,WR,CLE,9.1,4300
Anthony Miller,WR,CHI,9.29,3900
Mike Gesicki,TE,MIA,9.35,4500
Dallas Goedert,TE,PHI,9.77,4000
Darnell Mooney,WR,CHI,9.06,3500
Josh Reynolds,WR,LA,8.46,3800
Jonnu Smith,TE,TEN,8.43,3900
Logan Thomas,TE,WSH,9.17,3300
Ito Smith,RB,ATL,6.33,4400
Henry Ruggs,WR,LV,7.69,4600
Darius Slayton,WR,NYG,8.03,4200
Jordan Akins,TE,HOU,8.18,2900
Austin Hooper,TE,CLE,8.76,3400
Zach Ertz,TE,PHI,9.34,3700
Darrell Henderson,RB,LA,6.49,4900
Willie Snead,WR,BAL,8.42,4300
Larry Fitzgerald,WR,ARI,8.79,3500
Jordan Reed,TE,SF,8.73,3500
Justin Jackson,RB,LAC,5.99,4000
Adrian Peterson,RB,DET,5.67,5000
Irv Smith Jr.,TE,MIN,8.25,3100
Zach Pascal,WR,IND,7.58,3300
Dalton Schultz,TE,DAL,8.37,3500
Marquez Valdes-Scantling,WR,GB,7.03,3900
Cordarrelle Patterson,RB,CHI,6.14,3600
A.J. Green,WR,CIN,7.37,3000
K.J. Hamler,WR,DEN,7.47,3000
Tony Pollard,RB,DAL,5.9,5300
Gus Edwards,RB,BAL,5.21,4300
Jalen Reagor,WR,PHI,7.3,4400
C.J. Prosise,RB,HOU,5.82,4000
Carlos Hyde,RB,SEA,5.86,5100
Laviska Shenault,WR,JAC,7.21,4100
Tyler Eifert,TE,JAC,7.69,3100
Cam Sims,WR,WSH,7.49,3100
Golden Tate,WR,NYG,7.63,3600
Keelan Cole,WR,JAC,7.51,
Trey Burton,TE,IND,7.2,3100
Samaje Perine,RB,CIN,5.51,4000
Jacob Hollister,TE,SEA,7.01,3100
Emmanuel Sanders,WR,NO,7.27,4300
Jordan Wilkins,RB,IND,4.79,4000
Sony Michel,RB,NE,4.79,4300
Drew Sample,TE,CIN,7.23,3000
Chad Hansen,WR,HOU,6.54,3900
Tyler Higbee,TE,LA,7.06,3500
Brandon Powell,WR,ATL,7.03,3000
James White,RB,NE,7.28,4600
Jakeem Grant,WR,MIA,7,3400
Dez Bryant,WR,BAL,6.26,3000
Jalen Richard,RB,LV,4.93,4000
Gerald Everett,TE,LA,6.61,3300
Tre'Quan Smith,WR,NO,5.84,3300
Mark Ingram,RB,BAL,4.38,4700
Quintez Cephus,WR,DET,6.06,3200
Demarcus Robinson,WR,KC,5.81,3800
Brian Hill,RB,ATL,4.4,4200
N'Keal Harry,WR,NE,6.55,3100
Chris Conley,WR,JAC,6.1,3000
Mo Alie-Cox,TE,IND,5.68,2500
David Moore,WR,SEA,5.52,3400
Jared Cook,TE,NO,5.79,3800
Travis Fulgham,WR,PHI,5.86,4900
Alfred Morris,RB,NYG,4.32,4000
James Washington,WR,PIT,5.37,3400
Mecole Hardman,WR,KC,5.23,3200
Donovan Peoples-Jones,WR,CLE,5.52,3400
Kendrick Bourne,WR,SF,5.46,3700
Darren Fells,TE,HOU,5.25,2500
Steven Sims,WR,WSH,5.6,3300
Trenton Cannon,RB,CAR,5.17,4000
Boston Scott,RB,PHI,4.97,4900
Braxton Berrios,WR,NYJ,5.62,3000
Cameron Batson,WR,TEN,5.22,3000
Jalen Guyton,WR,LAC,4.92,3200
Christian Blake,WR,ATL,5.3,3000
Mohamed Sanu,WR,DET,5.38,3000
Malcolm Brown,RB,LA,4.25,4000
Will Dissly,TE,SEA,4.74,2900
Collin Johnson,WR,JAC,5.13,3600
Kerryon Johnson,RB,DET,3.79,4200
Jimmy Graham,TE,CHI,4.94,3000
Isaiah McKenzie,WR,BUF,4.89,3000
Cole Kmet,TE,CHI,4.87,2900
Andy Isabella,WR,ARI,4.59,3000
Mack Hollins,WR,MIA,4.82,3000
Alshon Jeffery,WR,PHI,4.73,3000
Isaiah Wright,WR,WSH,4.96,3000
Dawson Knox,TE,BUF,4.62,2800
David Njoku,TE,CLE,4.56,2500
Ian Thomas,TE,CAR,4.66,2500
Brandon Zylstra,WR,CAR,4.58,3000
Benny Snell Jr.,RB,PIT,3.1,5700
Jack Doyle,TE,IND,4.23,2500
Alex Erickson,WR,CIN,4.07,3000
